year,country_code,papers,country,rank_year
2010,CN,117651,China,2010
2010,US,79275,United States,2010
2010,GB,21991,United Kingdom,2010
2010,JP,18117,Japan,2010
2010,DE,17707,Germany,2010
2010,FR,15748,France,2010
2010,CA,13393,Canada,2010
2010,IT,10255,Italy,2010
2010,ES,9297,Spain,2010
2010,AU,9149,Australia,2010
2011,CN,120012,China,2011
2011,US,81206,United States,2011
2011,GB,22438,United Kingdom,2011
2011,DE,18572,Germany,2011
2011,JP,18157,Japan,2011
2011,FR,16439,France,2011
2011,CA,13444,Canada,2011
2011,IN,11031,India,2011
2011,IT,11014,Italy,2011
2011,ES,10378,Spain,2011
2012,CN,106796,China,2012
2012,US,81462,United States,2012
2012,GB,23402,United Kingdom,2012
2012,DE,20044,Germany,2012
2012,JP,18619,Japan,2012
2012,FR,17530,France,2012
2012,IN,14422,India,2012
2012,CA,13641,Canada,2012
2012,IT,11736,Italy,2012
2012,AU,11065,Australia,2012
2013,CN,103993,China,2013
2013,US,85341,United States,2013
2013,GB,25233,United Kingdom,2013
2013,DE,20213,Germany,2013
2013,FR,18809,France,2013
2013,JP,18616,Japan,2013
2013,IN,15692,India,2013
2013,CA,14023,Canada,2013
2013,IT,12562,Italy,2013
2013,AU,11846,Australia,2013
2014,CN,98918,China,2014
2014,US,87907,United States,2014
2014,GB,26121,United Kingdom,2014
2014,DE,21210,Germany,2014
2014,FR,19471,France,2014
2014,IN,19437,India,2014
2014,JP,18456,Japan,2014
2014,CA,14887,Canada,2014
2014,IT,13217,Italy,2014
2014,AU,12548,Australia,2014
2015,US,90701,United States,2015
2015,CN,86107,China,2015
2015,GB,27713,United Kingdom,2015
2015,DE,22036,Germany,2015
2015,IN,21609,India,2015
2015,FR,20269,France,2015
2015,JP,18593,Japan,2015
2015,CA,14959,Canada,2015
2015,IT,14140,Italy,2015
2015,AU,12925,Australia,2015
2016,US,92149,United States,2016
2016,CN,75734,China,2016
2016,GB,29532,United Kingdom,2016
2016,IN,25835,India,2016
2016,DE,23131,Germany,2016
2016,FR,20038,France,2016
2016,JP,18665,Japan,2016
2016,CA,15544,Canada,2016
2016,IT,14441,Italy,2016
2016,AU,13537,Australia,2016
2017,US,96048,United States,2017
2017,CN,85937,China,2017
2017,GB,30610,United Kingdom,2017
2017,IN,28062,India,2017
2017,DE,23683,Germany,2017
2017,FR,19942,France,2017
2017,JP,19134,Japan,2017
2017,CA,16032,Canada,2017
2017,IT,15141,Italy,2017
2017,AU,14252,Australia,2017
2018,US,106344,United States,2018
2018,CN,105889,China,2018
2018,GB,33470,United Kingdom,2018
2018,IN,32865,India,2018
2018,DE,25639,Germany,2018
2018,FR,21051,France,2018
2018,JP,20975,Japan,2018
2018,CA,17656,Canada,2018
2018,ID,16252,Indonesia,2018
2018,IT,16184,Italy,2018
2019,CN,129204,China,2019
2019,US,121641,United States,2019
2019,GB,36703,United Kingdom,2019
2019,IN,34375,India,2019
2019,DE,29292,Germany,2019
2019,JP,22007,Japan,2019
2019,FR,21968,France,2019
2019,ID,21037,Indonesia,2019
2019,CA,19542,Canada,2019
2019,RU,17977,Russian Federation,2019
2020,CN,144150,China,2020
2020,US,134327,United States,2020
2020,IN,43296,India,2020
2020,GB,40374,United Kingdom,2020
2020,DE,31316,Germany,2020
2020,ID,24960,Indonesia,2020
2020,JP,22343,Japan,2020
2020,CA,22014,Canada,2020
2020,FR,21352,France,2020
2020,RU,20841,Russian Federation,2020
2021,CN,173942,China,2021
2021,US,129297,United States,2021
2021,IN,52373,India,2021
2021,GB,42719,United Kingdom,2021
2021,DE,34481,Germany,2021
2021,ID,28751,Indonesia,2021
2021,CA,24792,Canada,2021
2021,RU,22900,Russian Federation,2021
2021,FR,22632,France,2021
2021,JP,22490,Japan,2021
2022,CN,205852,China,2022
2022,US,117572,United States,2022
2022,IN,62139,India,2022
2022,GB,39940,United Kingdom,2022
2022,DE,33354,Germany,2022
2022,ID,30181,Indonesia,2022
2022,FR,22971,France,2022
2022,IT,22321,Italy,2022
2022,CA,22246,Canada,2022
2022,JP,22235,Japan,2022
2023,CN,239251,China,2023
2023,US,126611,United States,2023
2023,IN,72250,India,2023
2023,GB,44122,United Kingdom,2023
2023,DE,36999,Germany,2023
2023,ID,36306,Indonesia,2023
2023,IT,24725,Italy,2023
2023,FR,24075,France,2023
2023,CA,24059,Canada,2023
2023,JP,22995,Japan,2023
2024,CN,207261,China,2024
2024,US,94567,United States,2024
2024,IN,62218,India,2024
2024,GB,31385,United Kingdom,2024
2024,DE,24674,Germany,2024
2024,FR,19336,France,2024
2024,JP,18939,Japan,2024
2024,IT,17645,Italy,2024
2024,ID,17603,Indonesia,2024
2024,CA,17056,Canada,2024
2025,CN,106545,China,2025
2025,US,54719,United States,2025
2025,IN,27650,India,2025
2025,GB,17654,United Kingdom,2025
2025,DE,14245,Germany,2025
2025,JP,9821,Japan,2025
2025,KR,9366,"Korea, Republic of",2025
2025,IT,9121,Italy,2025
2025,CA,9039,Canada,2025
2025,FR,8356,France,2025
